Player_ID,Player Name,Position,Nationality,Age,Height,Year,Versus,Match_Date,Winner,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,USA,2021-05-27,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Japan,2021-05-31,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Russia,2021-06-01,True,0,0,1,1,0,0,0,0,3,2,1,6,0,1,1,2,0,0,0,0,1,0,0,1
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Serbia,2021-06-06,True,2,0,5,7,0,0,0,0,3,0,3,6,0,1,0,1,0,0,0,0,2,0,0,2
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Belgium,2021-06-07,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Poland,2021-06-12,True,0,1,0,1,0,0,0,0,1,0,4,5,0,0,1,1,0,0,0,0,0,0,0,0
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Thailand,2021-06-14,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Netherlands,2021-06-19,True,0,1,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
112366.0,Castro De Paula Blassioli Sheilla,O,Brazil,38.0,185,2021,Japan,2021-06-24,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Canada,2021-05-25,True,1,1,16,18,0,0,0,0,6,0,2,8,6,3,0,9,0,0,0,0,0,2,0,2
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Dominican Republic,2021-05-26,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Japan,2021-05-31,True,1,1,9,11,0,0,2,2,4,2,5,11,4,3,4,11,0,0,0,0,1,1,0,2
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Russia,2021-06-01,True,6,1,18,25,0,0,5,5,8,1,7,16,1,2,2,5,0,0,0,0,2,1,0,3
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Italy,2021-06-02,True,1,3,16,20,0,0,5,5,8,2,4,14,5,7,2,14,0,1,0,1,2,2,0,4
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Serbia,2021-06-06,True,0,2,6,8,0,0,2,2,1,0,0,1,1,4,1,6,0,0,0,0,2,0,0,2
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Belgium,2021-06-07,True,0,0,7,7,0,0,1,1,3,0,0,3,2,5,2,9,0,0,0,0,1,0,0,1
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,China,2021-06-08,False,0,1,10,11,0,0,6,6,4,2,3,9,0,7,7,14,0,0,0,0,2,1,1,4
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Poland,2021-06-12,True,0,1,5,6,0,0,1,1,2,1,3,6,2,4,0,6,0,0,0,0,0,1,0,1
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Germany,2021-06-13,True,0,2,16,18,0,0,0,0,7,1,4,12,1,6,3,10,0,0,0,0,2,0,0,2
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Thailand,2021-06-14,True,0,0,4,4,0,0,1,1,1,0,1,2,2,1,1,4,0,0,0,0,0,0,0,0
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,Japan,2021-06-24,True,0,0,4,4,0,0,0,0,2,0,1,3,2,1,1,4,0,0,0,0,0,0,0,0
144866.0,Da Silva Ana Carolina,MB,Brazil,30.0,183,2021,USA,2021-06-25,False,0,2,12,14,0,0,2,2,9,3,4,16,8,6,8,22,0,0,0,0,0,1,0,1
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Canada,2021-05-25,True,1,0,18,19,0,0,1,1,10,0,14,24,3,2,1,6,8,0,3,11,5,2,1,8
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Dominican Republic,2021-05-26,True,2,1,12,15,0,0,0,0,11,1,9,21,1,1,2,4,6,0,7,13,1,1,1,3
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,USA,2021-05-27,False,0,1,10,11,0,0,1,1,17,1,16,34,1,4,1,6,19,3,24,46,11,5,2,18
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Japan,2021-05-31,True,0,1,8,9,0,0,0,0,21,4,13,38,0,4,6,10,12,1,11,24,7,4,1,12
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Russia,2021-06-01,True,0,1,12,13,0,0,2,2,11,3,11,25,1,1,3,5,6,0,4,10,10,2,2,14
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Italy,2021-06-02,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
