date,hour,Team A,result,Team B
25 May,10.00,Netherlands,3–0,Belgium
25 May,12.00,Turkey,3–2,Serbia
25 May,13.00,Germany,0–3,Russia
25 May,15.00,Japan,3–0,Thailand
25 May,16.00,China,3–1,South Korea
25 May,18.00,Dominican Republic,0–3,United States
25 May,19.30,Italy,2–3,Poland
25 May,21.00,Brazil,3–1,Canada
26 May,10.00,Netherlands,2–3,Germany
26 May,12.00,Thailand,1–3,South Korea
26 May,13.00,China,0–3,Japan
26 May,15.00,Belgium,2–3,Russia
26 May,16.00,Serbia,3–1,Poland
26 May,18.00,Brazil,3–0,Dominican Republic
26 May,19.00,Turkey,3–0,Italy
26 May,21.00,United States,3–0,Canada
27 May,10.00,Germany,3–0,Belgium
27 May,12.00,Russia,1–3,Netherlands
27 May,13.00,South Korea,0–3,Japan
27 May,15.00,Canada,1–3,Dominican Republic
27 May,16.00,China,3–0,Thailand
27 May,18.00,Poland,1–3,Turkey
27 May,19.30,Brazil,1–3,United States
27 May,21.00,Serbia,3–1,Italy
31 May,10.00,Thailand,0–3,Netherlands
31 May,12.00,Belgium,3–2,Dominican Republic
31 May,13.00,China,3–2,Germany
31 May,15.00,Brazil,3–0,Japan
31 May,16.00,Canada,2–3,Turkey
31 May,18.00,South Korea,0–3,Poland
31 May,19.30,Serbia,0–3,United States
31 May,21.00,Russia,3–0,Italy
1 Jun,10.00,Turkey,3–0,Germany
1 Jun,12.00,Dominican Republic,3–0,South Korea
1 Jun,13.00,Belgium,3–2,Poland
1 Jun,15.00,Serbia,3–0,Thailand
1 Jun,16.00,China,2–3,Canada
1 Jun,18.00,United States,3–0,Netherlands
1 Jun,19.30,Italy,2–3,Japan
1 Jun,21.00,Brazil,3–0,Russia
2 Jun,10.00,Belgium,3–2,South Korea
2 Jun,12.00,Thailand,0–3,United States
2 Jun,13.00,Germany,0–3,Canada
2 Jun,15.00,Japan,3–0,Russia
2 Jun,16.00,China,0–3,Turkey
2 Jun,18.00,Poland,1–3,Dominican Republic
2 Jun,19.30,Netherlands,3–1,Serbia
2 Jun,21.00,Brazil,3–1,Italy
6 Jun,10.00,China,2–3,Belgium
6 Jun,12.00,Japan,0–3,Netherlands
6 Jun,15.00,Turkey,3–1,Thailand
6 Jun,15.00,Dominican Republic,2–3,Russia
6 Jun,16.00,Brazil,3–0,Serbia
6 Jun,18.00,Canada,2–3,Poland
6 Jun,19.00,Italy,3–1,South Korea
6 Jun,21.00,Germany,0–3,United States
7 Jun,10.00,Russia,3–1,Thailand
7 Jun,12.00,Turkey,1–3,Dominican Republic
7 Jun,13.00,Canada,0–3,Japan
7 Jun,15.00,China,1–3,Serbia
7 Jun,16.00,South Korea,0–3,United States
7 Jun,18.00,Poland,2–3,Netherlands
7 Jun,19.00,Germany,0–3,Italy
7 Jun,21.00,Belgium,0–3,Brazil
8 Jun,10.00,Thailand,0–3,Dominican Republic
8 Jun,12.00,Turkey,3–2,Russia
8 Jun,13.00,Canada,0–3,Netherlands
8 Jun,15.00,Japan,3–2,Poland
8 Jun,16.00,China,3–2,Brazil
8 Jun,18.00,Germany,3–0,South Korea
8 Jun,19.00,Belgium,3–2,Serbia
8 Jun,21.00,Italy,1–3,United States
12 Jun,10.00,Russia,3–0,South Korea
12 Jun,12.00,Thailand,3–1,Germany
12 Jun,13.00,Japan,3–1,Turkey
12 Jun,15.00,United States,3–0,Belgium
12 Jun,16.00,China,3–0,Netherlands
12 Jun,18.00,Canada,3–1,Serbia
12 Jun,19.00,Dominican Republic,3–1,Italy
12 Jun,21.00,Poland,0–3,Brazil
13 Jun,10.00,Turkey,3–0,Belgium
13 Jun,12.00,United States,3–0,Japan
13 Jun,13.30,Italy,2–3,Netherlands
