date,hour,Team A,result,Team B
13 Jun,15.00,Dominican Republic,1–3,China
13 Jun,16.30,Russia,3–0,Canada
13 Jun,18.00,South Korea,3–1,Serbia
13 Jun,19.30,Thailand,0–3,Poland
13 Jun,21.00,Germany,1–3,Brazil
14 Jun,10.00,Belgium,1–3,Japan
14 Jun,12.00,Russia,3–0,Serbia
14 Jun,13.00,Netherlands,1–3,Dominican Republic
14 Jun,15.00,Germany,3–0,Poland
14 Jun,16.00,China,3–0,Italy
14 Jun,18.00,South Korea,3–2,Canada
14 Jun,19.30,Brazil,3–0,Thailand
14 Jun,21.00,United States,3–1,Turkey
18 Jun,10.00,Germany,3–0,Serbia
18 Jun,12.00,Japan,3–2,Dominican Republic
18 Jun,13.00,Thailand,1–3,Belgium
18 Jun,15.00,South Korea,0–3,Brazil
18 Jun,16.00,China,3–0,Russia
18 Jun,18.00,Poland,0–3,United States
18 Jun,19.00,Canada,0–3,Italy
18 Jun,21.00,Turkey,3–0,Netherlands
19 Jun,10.00,Dominican Republic,3–0,Serbia
19 Jun,12.00,United States,3–1,Russia
19 Jun,13.00,Japan,3–1,Germany
19 Jun,15.00,Thailand,3–0,Canada
19 Jun,16.00,China,3–0,Poland
19 Jun,18.00,South Korea,1–3,Turkey
19 Jun,19.30,Brazil,3–0,Netherlands
19 Jun,21.00,Belgium,3–2,Italy
20 Jun,10.00,Dominican Republic,3–2,Germany
20 Jun,12.00,China,3–0,United States
20 Jun,13.00,Thailand,1–3,Italy
20 Jun,15.00,Japan,3–0,Serbia
20 Jun,16.00,Russia,2–3,Poland
20 Jun,18.00,South Korea,2–3,Netherlands
20 Jun,19.30,Belgium,3–0,Canada
20 Jun,21.00,Brazil,3–1,Turkey
24 Jun,16:00,Brazil,3–1,Japan
24 Jun,19:30,United States,3–0,Turkey
25 Jun,16:00,Japan,0–3,Turkey
25 Jun,19:30,Brazil,1–3,United States
