date,hour,Team A,result,Team B
31 May,17:00,Germany,1–3,Brazil
31 May,20:00,United States,3–0,Dominican Republic
1 Jun,17:00,Poland,3–1,Canada
1 Jun,20:00,South Korea,0–3,Japan
2 Jun,14:00,Brazil,3–0,Poland
2 Jun,17:00,Germany,2–3,Japan
2 Jun,20:00,Canada,3–0,Dominican Republic
3 Jun,14:00,Germany,3–0,South Korea
3 Jun,17:00,Dominican Republic,1–3,Brazil
3 Jun,20:00,United States,3–0,Canada
4 Jun,14:00,South Korea,0–3,Poland
4 Jun,17:00,Dominican Republic,1–3,Japan
4 Jun,20:00,United States,3–0,Brazil
5 Jun,12:00,Poland,3–2,Germany
5 Jun,15:00,Japan,3–0,United States
5 Jun,18:00,South Korea,0–3,Canada
31 May,15:30,Thailand,3–0,Bulgaria
31 May,18:30,Turkey,3–0,Italy
1 Jun,15:30,Belgium,1–3,Serbia
1 Jun,18:30,China,3–1,Netherlands
2 Jun,13:00,Thailand,3–2,Serbia
2 Jun,16:00,Bulgaria,3–2,Netherlands
2 Jun,19:00,Belgium,1–3,Italy
3 Jun,13:00,Serbia,3–0,Bulgaria
3 Jun,16:00,Netherlands,0–3,Italy
3 Jun,19:00,Turkey,1–3,China
4 Jun,13:00,Thailand,2–3,Belgium
4 Jun,16:00,China,3–1,Italy
4 Jun,19:00,Bulgaria,0–3,Turkey
5 Jun,13:00,Serbia,3–2,Netherlands
5 Jun,16:00,Thailand,3–2,China
5 Jun,19:00,Turkey,3–1,Belgium
14 Jun,18:00,Netherlands,1–3,Germany
14 Jun,21:00,Serbia,1–3,Italy
15 Jun,18:00,Dominican Republic,3–0,South Korea
15 Jun,21:00,Brazil,3–1,Turkey
16 Jun,15:00,Serbia,3–0,South Korea
16 Jun,18:00,Italy,3–2,Dominican Republic
16 Jun,21:00,Netherlands,0–3,Brazil
17 Jun,15:00,Germany,0–3,Italy
17 Jun,18:00,Serbia,3–2,Turkey
17 Jun,21:00,Netherlands,2–3,Dominican Republic
18 Jun,15:00,Italy,3–1,Brazil
18 Jun,18:00,Germany,0–3,Turkey
18 Jun,21:00,Netherlands,3–0,South Korea
19 Jun,10:00,Brazil,3–0,Serbia
19 Jun,13:00,Germany,1–3,Dominican Republic
19 Jun,16:00,Turkey,3–1,South Korea
14 Jun,15:00,Canada,0–3,Thailand
14 Jun,19:00,Japan,3–0,Poland
15 Jun,15:00,Bulgaria,0–3,United States
15 Jun,19:00,China,3–0,Belgium
16 Jun,11:00,Poland,3–2,Thailand
16 Jun,15:00,Canada,3–1,Belgium
16 Jun,19:00,Bulgaria,0–3,Japan
17 Jun,11:00,Poland,0–3,United States
17 Jun,15:00,China,3–1,Canada
17 Jun,19:00,Japan,3–0,Thailand
18 Jun,11:00,Bulgaria,3–0,Canada
18 Jun,15:00,Belgium,3–2,Poland
18 Jun,19:00,United States,3–0,China
19 Jun,11:00,Bulgaria,2–3,Belgium
19 Jun,15:00,Thailand,1–3,United States
19 Jun,19:00,Japan,3–1,China
28 Jun,17:00,Serbia,3–1,Germany
28 Jun,20:00,Canada,3–1,Turkey
29 Jun,17:00,Japan,2–3,Netherlands
29 Jun,20:00,Belgium,0–3,United States
30 Jun,14:00,Turkey,3–0,Netherlands
30 Jun,17:00,Germany,3–1,Belgium
30 Jun,20:00,United States,3–0,Serbia
1 Jul,14:00,Belgium,1–3,Netherlands
1 Jul,17:00,Turkey,3–1,Japan
1 Jul,20:00,Serbia,3–1,Canada
2 Jul,14:00,Turkey,2–3,United States
2 Jul,17:00,Japan,1–3,Serbia
2 Jul,20:00,Germany,3–1,Canada
3 Jul,11:00,Belgium,3–2,Japan
3 Jul,14:00,United States,3–1,Germany
3 Jul,17:00,Netherlands,3–1,Canada
28 Jun,17:00,China,2–3,Brazil
28 Jun,20:00,Dominican Republic,0–3,Bulgaria
29 Jun,17:00,Thailand,3–0,South Korea
29 Jun,20:00,Italy,3–1,Poland
30 Jun,13:30,Thailand,1–3,Dominican Republic
30 Jun,16:30,Poland,0–3,China
30 Jun,20:00,South Korea,0–3,Brazil
1 Jul,13:30,China,3–0,Dominican Republic
1 Jul,16:30,Italy,3–1,South Korea
1 Jul,20:00,Brazil,3–0,Bulgaria
2 Jul,13:30,Dominican Republic,3–2,Poland
2 Jul,16:30,Brazil,3–1,Thailand
2 Jul,20:00,Italy,3–0,Bulgaria
3 Jul,13:30,China,3–1,South Korea
3 Jul,16:30,Thailand,0–3,Italy
3 Jul,20:00,Poland,1–3,Bulgaria
13 Jul,15:00,Brazil,3–1,Japan
13 Jul,18:30,United States,2–3,Serbia
14 Jul,15:00,Italy,3–1,China
14 Jul,18:30,Turkey,3–1,Thailand
16 Jul,15:00,Serbia,1–3,Brazil
16 Jul,18:30,Turkey,0–3,Italy
17 Jul,15:00,Turkey,0–3,Serbia
17 Jul,18:30,Italy,3–0,Brazil
